,,,,,,,,,,,,,,,,,,
,,SRS,,,Adjusted,,,,,,,,,,,,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
176,Georgetown,Big East,,,7,25,69.5,78.1,-8.59,,7.49,,2.06,-3.16,-1.1,100.05,101.72,-1.67
177,St. Bonaventure,A-10,,,14,18,66.8,67.7,-0.91,,-0.19,,-4.34,3.24,-1.1,96.61,98.23,-1.63
178,Western Kentucky,CUSA,,,17,16,71.4,70.6,0.76,,0.72,,-0.93,-0.26,-1.18,98.41,100.38,-1.97
179,UNC Wilmington,CAA,,,24,10,68.9,64.3,4.59,,-3.07,,-4.17,2.97,-1.2,97.15,98.8,-1.66
180,Massachusetts,A-10,,,15,16,69.8,71.4,-1.65,,0.42,,0.39,-1.61,-1.23,95.36,97.48,-2.12
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
181,New Mexico State,WAC,,,9,15,73.7,71.7,2.04,,2.71,,1.51,-2.8,-1.29,100.9,102.95,-2.05
182,Appalachian State,Sun Belt,,,16,16,70.3,64.6,5.66,,-0.78,,-5.23,3.93,-1.3,95.61,97.82,-2.2
183,South Dakota State,Summit,,,19,13,70.9,69.8,1.16,,-1.61,,-1.8,0.45,-1.35,98.47,100.35,-1.88
184,UNC Asheville,Big South,,,27,7,75,68.6,6.44,,-5.35,,-0.13,-1.37,-1.5,93.67,96.51,-2.83
185,San Diego,WCC,,,11,20,77.1,80.5,-3.35,,3.74,,5.91,-7.51,-1.6,106,108.37,-2.37
186,George Washington,A-10,,,16,16,76.3,76.7,-0.44,,-0.41,,5.8,-7.54,-1.73,104.83,107.13,-2.3
187,Longwood,Big South,,,20,12,73.2,66.2,6.94,,-6.4,,-3.26,1.45,-1.8,98.13,100.64,-2.51
188,South Carolina,SEC,,,11,21,64.3,72.6,-8.28,,6.4,,-3.34,1.46,-1.88,99.09,102.48,-3.39
189,Lipscomb,A-Sun,,,20,13,76.4,71,5.39,,-3.97,,1.66,-3.57,-1.91,98.35,101.35,-2.99
190,Cleveland State,Horizon,,,21,13,71.7,68.1,3.62,,-4.95,,-2.27,0.35,-1.92,98.67,101.7,-3.03
191,Texas State,Sun Belt,,,16,19,66,66.7,-0.71,,-0.45,,-5.14,3.06,-2.08,98.42,101.84,-3.42
192,Wright State,Horizon,,,18,15,79.9,73.7,6.21,,-5.67,,4.3,-6.42,-2.12,98.83,102.16,-3.33
193,Chattanooga,Southern,,,18,17,77.2,72.1,5.11,,-3.19,,2.02,-4.21,-2.19,101.93,105.17,-3.25
194,Northern Iowa,MVC,,,14,18,70.1,69.9,0.19,,-0.59,,-1.25,-0.96,-2.2,98.55,101.87,-3.32
195,Drexel,CAA,,,17,15,66.7,62.4,4.31,,-5.42,,-6.39,4.14,-2.26,95.49,98.42,-2.93
196,Texas A&M-Corpus Christi,Southland,,,23,10,80.4,72.5,7.85,,-7.68,,2.38,-4.71,-2.34,99.11,102.34,-3.24
197,Quinnipiac,MAAC,,,20,12,73,69.7,3.25,,-5.16,,1.21,-3.6,-2.39,98.39,102.02,-3.63
